
0.190, 0.340, 0.371, 0.371, 0.371, 0.340, 0.190, 0.265, 0.265, 0.265, 
0.190, 0.190, 0.221, 0.890, 0.296, 0.296, 0.296, 0.371, 0.190, 0.265, 
0.265, 0.265, 0.371, 0.371, 0.252, 0.434, 0.784, 0.328, 0.265, 0.340, 
0.221, 0.328, 0.284, 0.284, 0.315, 0.721, 0.870, 0.252, 0.340, 0.265, 
0.403, 0.733, 0.882, 0.827, 0.765, 0.902, 0.359, 0.221, 0.265, 0.340, 
0.328, 0.808, 0.421, 0.902, 0.945, 0.284, 0.221, 0.265, 0.265, 0.265, 
0.371, 0.221, 0.403, 0.252, 0.403, 0.296, 0.340, 0.190, 0.265, 0.340, 
0.296, 0.371, 0.265, 0.265, 0.190, 0.340, 0.190, 0.296, 0.252, 0.252, 
0.714, 0.359, 0.296, 0.340, 0.265, 0.340, 0.190, 0.221, 0.733, 0.639, 
0.726, 0.639, 0.371, 0.265, 0.265, 0.190, 0.340, 0.296, 0.284, 0.576, 
