
0.350, 0.500, 0.531, 0.562, 0.594, 0.625, 0.634, 0.709, 0.548, 0.485, 
0.350, 0.381, 0.444, 0.641, 0.865, 0.610, 0.641, 0.877, 0.535, 0.516, 
0.425, 0.456, 0.748, 0.685, 0.472, 0.591, 0.504, 0.613, 0.613, 0.623, 
0.381, 0.519, 0.506, 0.569, 0.441, 0.410, 0.579, 0.790, 0.625, 0.579, 
0.562, 0.759, 0.716, 0.579, 0.548, 0.591, 0.579, 0.506, 0.550, 0.685, 
0.488, 0.704, 0.803, 0.685, 0.654, 0.790, 0.504, 0.641, 0.519, 0.456, 
0.531, 0.444, 0.909, 0.475, 0.625, 0.641, 0.688, 0.566, 0.488, 0.500, 
0.425, 0.531, 0.456, 0.456, 0.381, 0.594, 0.566, 0.581, 0.475, 0.412, 
0.425, 0.456, 0.488, 0.594, 0.488, 0.625, 0.566, 0.759, 0.728, 0.566, 
0.500, 0.381, 0.685, 0.579, 0.610, 0.444, 0.654, 0.579, 0.506, 0.603, 
