
0.250, 0.325, 0.175, 0.175, 0.175, 0.250, 0.325, 0.356, 0.755, 0.692, 
0.325, 0.250, 0.250, 0.175, 0.175, 0.250, 0.250, 0.206, 0.450, 0.770, 
0.325, 0.325, 0.281, 0.387, 0.312, 0.206, 0.175, 0.356, 0.269, 0.739, 
0.206, 0.281, 0.387, 0.817, 0.743, 0.281, 0.175, 0.387, 0.833, 0.300, 
0.830, 0.344, 0.344, 0.743, 0.269, 0.281, 0.175, 0.419, 0.924, 0.770, 
0.845, 0.774, 0.237, 0.356, 0.281, 0.325, 0.325, 0.237, 0.849, 0.419, 
0.695, 0.344, 0.356, 0.250, 0.175, 0.175, 0.175, 0.206, 0.281, 0.206, 
0.206, 0.281, 0.325, 0.325, 0.175, 0.325, 0.250, 0.325, 0.325, 0.325, 
0.250, 0.175, 0.250, 0.325, 0.250, 0.325, 0.250, 0.250, 0.325, 0.325, 
0.250, 0.175, 0.175, 0.325, 0.250, 0.250, 0.325, 0.175, 0.175, 0.325, 
