
0.350, 0.412, 0.572, 0.723, 0.412, 0.275, 0.275, 0.275, 0.275, 0.275, 
0.200, 0.412, 0.741, 0.741, 0.412, 0.275, 0.275, 0.350, 0.200, 0.200, 
0.306, 0.412, 0.369, 0.338, 0.231, 0.350, 0.306, 0.338, 0.369, 0.338, 
0.262, 0.729, 0.306, 0.200, 0.275, 0.275, 0.338, 0.884, 0.666, 0.648, 
0.785, 0.412, 0.381, 0.275, 0.200, 0.200, 0.369, 0.884, 0.572, 0.585, 
0.338, 0.262, 0.275, 0.350, 0.200, 0.200, 0.444, 0.816, 0.572, 0.541, 
0.741, 0.231, 0.275, 0.275, 0.275, 0.350, 0.262, 0.773, 0.431, 0.754, 
0.381, 0.381, 0.350, 0.350, 0.200, 0.275, 0.306, 0.306, 0.412, 0.381, 
0.350, 0.275, 0.306, 0.231, 0.338, 0.231, 0.381, 0.350, 0.350, 0.200, 
0.275, 0.350, 0.381, 0.816, 0.338, 0.666, 0.231, 0.200, 0.200, 0.275, 
